,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 138,0.08878014697698138,-0.028602166534326956,0.08604465802897895,-0.11362416291541234,-0.07350774661083352,0.0022593492845822743,-0.10097297030328266
TGC 139,-0.10629480734843268,-0.1617750871537371,-0.06523090247135829,-0.030884189374974363,-0.2994411343328073,-0.1925459726064912,-0.18873479521683217
TGC 140,0.003648037922171753,-0.10398479036974331,0.126681960137384,0.09837497561284267,-0.13128848286128306,-0.03074434825305846,-0.1445962573681266
TGC 141,0.05997184354344572,0.10825781901029784,0.1332551398652001,0.0565407957331636,0.14670454236161737,0.29436013165458036,0.13735825981038982
TGC 142,-0.07717480104427198,-0.07876118611890003,-0.13906810134837402,-0.12407240973067808,-0.014180761525441479,-0.12494301552825367,-0.035537251832974306
TGC 143,-0.025231442063329765,0.041412701329900825,0.09285752176078614,0.05234342087512309,-0.05612562764352451,0.10567775513730837,0.0028656059640961647
TGC 144,-0.0531782806652154,-0.18540715715255532,-0.13234999699795752,-0.09642958985522855,-0.08985971604647153,-0.2075839993670173,-0.18965676286422284
TGC 145,0.026522768219521608,-0.09630073125737824,0.02323861049884812,0.020910656984028633,-0.007290509786813876,0.05369757185812889,0.038714944044285646
TGC 146,0.023654372572101744,-0.07842766671536743,-0.20777220653641376,-0.07442828247132421,-0.06779998035612567,-0.08279870185247273,-0.04342681995105394
TGC 147,0.052400200230365686,0.06585951321687941,0.25897743343165924,0.0788037215546016,0.038718568449619926,-0.06478506816567847,0.024119579531017444
TGC 148,0.05777185097407406,-0.05486111913615442,0.028402399441353424,-0.0952637050383804,-0.05633638529692799,-0.02640609190207396,0.0028374228814415734
TGC 149,-0.04153236961311995,0.13420103340363962,-0.008434929772180428,-0.021224276198344723,-0.07274407583603397,0.084177924034269,0.10466291155399517
TGC 150,-0.08830612134816407,-0.02219807125508458,0.049801103329824604,0.05432951166422456,-0.05182011198470277,-0.055858359372567855,0.02304763813213405
TGC 151,-0.03492472366473537,-0.13955516242415905,-0.0946223208170775,-0.04646306091834814,-0.15548655117161903,-0.06642021940348476,-0.17709299050905195
TGC 152,0.08056844579836171,0.13323969368465383,0.28251327026904943,0.13274863801315534,0.15376734775224665,0.07934748152502685,0.05400663761052903
TGC 153,-0.13159876275293889,-0.23440270707540375,-0.212562108582062,-0.07071388048404155,-0.15366786458055698,-0.2045132729034485,-0.09151281716866343
TGC 154,0.05731853044928875,0.04398643374901922,0.003305298464530694,-0.053080513945718395,0.005234485575763369,-0.05033693562406806,-0.05527111972596754
TGC 155,0.0270287362772339,0.12716114521532637,0.27606245177043215,0.08208250107051553,0.2061451034176542,0.13605359320233398,0.004539474438682618
TGC 156,0.10900689655960054,-0.02104322046479981,0.03985064527432893,0.0023402756436389244,-0.13539176722266283,-0.06261370384557086,-0.1047159556112857
TGC 157,0.005693443033628397,-0.024685820722106563,-0.12592932455357986,-0.02189061493183858,-0.05573032079866423,-0.11175970777768637,0.06452532777706131
TGC 158,0.04986832351385628,0.07660706610588237,0.07565980695269332,-0.04196739726191501,0.15038055498203684,0.1200108538160624,0.13440582011702695
